,,,,,,,,,,,,,
,,,,,,,,,,,,,
,CODIGOS INVOLUCRADOS EN PEDIDOS JUNIO NOVIEMBRE,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Código II, Q. según pedidos, Promedio VTA, m3 x unidad, m3 x Inner, m3 x Master, Unidades x Inner, Unidades x Master, Peso [kgrs], Alto [mm], Ancho [mm], Largo [mm],,Es Sensible,Apto VLM
,91,  631 ,  78 ,  0.0001 ,  0.0105 ,  0.0210 ,  150 ,  300 ,  0.10 ,  10.50 ,  40.00 ,  225.00 ,,NO,SI
,92,  813 ,  128 ,  0.0001 ,  -   ,  0.0161 ,  -   ,  125 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,93,  713 ,  99 ,  0.0002 ,  -   ,  0.0106 ,  -   ,  60 ,  0.26 ,  12.50 ,  40.00 ,  460.00 ,,NO,SI
,94,  596 ,  91 ,  0.0001 ,  0.0059 ,  0.0117 ,  75 ,  150 ,  0.11 ,  10.50 ,  40.00 ,  225.00 ,,NO,SI
,95,  583 ,  87 ,  0.0002 ,  0.0111 ,  0.0222 ,  50 ,  100 ,  0.32 ,  13.50 ,  40.00 ,  530.00 ,,NO,SI
,96,  313 ,  48 ,  0.0003 ,  0.0026 ,  0.0132 ,  10 ,  50 ,  0.42 ,  16.00 ,  40.00 ,  540.00 ,,NO,SI
,97,  255 ,  41 ,  0.0001 ,  -   ,  0.0123 ,  -   ,  100 ,  0.20 ,  16.50 ,  40.00 ,  275.00 ,,NO,SI
,98,  580 ,  89 ,  0.0002 ,  0.0048 ,  0.0096 ,  25 ,  50 ,  0.31 ,  16.50 ,  40.00 ,  375.00 ,,NO,SI
,99,  497 ,  68 ,  0.0003 ,  -   ,  0.0132 ,  -   ,  40 ,  0.58 ,  18.30 ,  40.00 ,  520.00 ,,NO,SI
,100,  647 ,  100 ,  0.0004 ,  -   ,  0.0106 ,  -   ,  25 ,  0.75 ,  20.50 ,  40.00 ,  500.00 ,,NO,SI
,101,  396 ,  51 ,  0.0002 ,  -   ,  0.0112 ,  -   ,  50 ,  0.39 ,  20.50 ,  40.00 ,  325.00 ,,NO,SI
,102,  242 ,  31 ,  0.0261 ,  -   ,  0.0522 ,  -   ,  2 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,103,  927 ,  220 ,  0.0001 ,  0.0008 ,  0.0475 ,  6 ,  360 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,104,"  2,162 ",  473 ,  0.0001 ,  0.0008 ,  0.0475 ,  6 ,  360 ,  0.04 ,  27.50 ,  27.50 ,  170.00 ,,NO,SI
,105,"  2,003 ",  501 ,  0.0002 ,  0.0013 ,  0.0504 ,  6 ,  240 ,  0.07 ,  31.00 ,  31.00 ,  205.00 ,,NO,SI
