,,,,,,,,,,,,,
,,,,,,,,,,,,,
,CODIGOS INVOLUCRADOS EN PEDIDOS JUNIO NOVIEMBRE,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Código II, Q. según pedidos, Promedio VTA, m3 x unidad, m3 x Inner, m3 x Master, Unidades x Inner, Unidades x Master, Peso [kgrs], Alto [mm], Ancho [mm], Largo [mm],
,875,  858 ,  126 ,  0.0001 ,  0.0014 ,  0.0136 ,  20 ,  200 ,  0.09 ,  22.00 ,  22.00 ,  77.00 ,
,876,"  3,379 ",  431 ,  0.0001 ,  0.0014 ,  0.0136 ,  20 ,  200 ,  0.09 ,  22.08 ,  22.08 ,  77.15 ,
,877,"  1,476 ",  227 ,  0.0001 ,  0.0014 ,  0.0138 ,  20 ,  200 ,  0.10 ,  21.90 ,  21.90 ,  77.00 ,
,878,"  1,660 ",  266 ,  0.0001 ,  0.0014 ,  0.0138 ,  20 ,  200 ,  0.11 ,  21.90 ,  21.90 ,  76.90 ,
,879,"  5,276 ",  765 ,  0.0001 ,  0.0014 ,  0.0136 ,  20 ,  200 ,  0.11 ,  22.00 ,  22.00 ,  76.92 ,
,880,"  2,732 ",  419 ,  0.0001 ,  0.0014 ,  0.0136 ,  20 ,  200 ,  0.10 ,  21.90 ,  21.90 ,  77.40 ,
,881,"  1,946 ",  288 ,  0.0001 ,  0.0014 ,  0.0138 ,  20 ,  200 ,  0.10 ,  21.85 ,  21.85 ,  77.05 ,
,882,"  3,544 ",  661 ,  0.0001 ,  0.0014 ,  0.0136 ,  20 ,  200 ,  0.10 ,  21.91 ,  21.91 ,  76.85 ,
,883,"  3,686 ",  498 ,  0.0001 ,  0.0018 ,  0.0182 ,  20 ,  200 ,  0.12 ,  23.92 ,  23.92 ,  77.24 ,
,884,"  2,648 ",  454 ,  0.0001 ,  0.0018 ,  0.0182 ,  20 ,  200 ,  0.14 ,  25.90 ,  25.90 ,  77.62 ,
,885,"  3,623 ",  588 ,  0.0001 ,  0.0018 ,  0.0182 ,  20 ,  200 ,  0.13 ,  25.75 ,  25.75 ,  77.20 ,
,886,  585 ,  115 ,  0.0002 ,  0.0032 ,  0.0159 ,  20 ,  100 ,  0.16 ,  28.00 ,  28.00 ,  77.50 ,
,887,"  1,766 ",  353 ,  0.0001 ,  0.0030 ,  0.0149 ,  20 ,  100 ,  0.15 ,  27.80 ,  27.80 ,  77.00 ,
,888,"  1,728 ",  310 ,  0.0001 ,  0.0030 ,  0.0149 ,  20 ,  100 ,  0.18 ,  29.83 ,  29.83 ,  77.40 ,
,889,"  2,327 ",  378 ,  0.0003 ,  0.0060 ,  0.0298 ,  20 ,  100 ,  0.21 ,  31.75 ,  31.75 ,  77.13 ,
,890,"  1,662 ",  314 ,  0.0002 ,  0.0032 ,  0.0159 ,  16 ,  80 ,  0.27 ,  35.83 ,  35.83 ,  77.50 ,
,891,  928 ,  172 ,  0.0003 ,  0.0028 ,  0.0140 ,  10 ,  50 ,  0.34 ,  40.00 ,  40.00 ,  76.50 ,
,892,  772 ,  105 ,  0.0003 ,  0.0028 ,  0.0140 ,  10 ,  50 ,  0.08 ,  42.00 ,  42.00 ,  77.50 ,
,893,  997 ,  166 ,  0.0004 ,  0.0023 ,  0.0275 ,  6 ,  72 ,  0.82 ,  14.00 ,  80.00 ,  199.00 ,
,894,"  2,628 ",  454 ,  0.0007 ,  0.0039 ,  0.0394 ,  6 ,  60 ,  0.25 ,  17.00 ,  88.00 ,  275.00 ,
,895,"  1,249 ",  209 ,  0.0001 ,  0.0060 ,  0.0238 ,  50 ,  200 ,  -   ,  -   ,  -   ,  -   ,
,896,  553 ,  141 ,  0.0002 ,  0.0107 ,  0.0426 ,  50 ,  200 ,  0.08 ,  25.00 ,  25.00 ,  610.00 ,
,5170,  369 ,  -   ,  0.0004 ,  0.0191 ,  0.0763 ,  50 ,  200 ,  0.08 ,  25.00 ,  25.00 ,  610.00 ,
,897,"  2,097 ",  335 ,  0.0002 ,  0.0022 ,  0.0109 ,  10 ,  50 ,  -   ,  -   ,  -   ,  -   ,
,898,"  1,387 ",  140 ,  0.0002 ,  0.0022 ,  0.0109 ,  10 ,  50 ,  0.04 ,  35.00 ,  35.00 ,  100.00 ,
,899,  326 ,  34 ,  0.0002 ,  0.0018 ,  0.0090 ,  10 ,  50 ,  0.05 ,  35.00 ,  40.00 ,  105.00 ,
,900,  106 ,  13 ,  0.0002 ,  0.0021 ,  0.0105 ,  10 ,  50 ,  0.13 ,  50.00 ,  50.00 ,  100.00 ,
,901,  201 ,  38 ,  0.0002 ,  0.0022 ,  0.0109 ,  10 ,  50 ,  0.07 ,  35.00 ,  35.00 ,  100.00 ,
,902,  203 ,  18 ,  0.0002 ,  0.0022 ,  0.0109 ,  10 ,  50 ,  0.09 ,  35.00 ,  40.00 ,  100.00 ,
,903,  181 ,  34 ,  0.0002 ,  0.0022 ,  0.0109 ,  10 ,  50 ,  0.06 ,  35.00 ,  40.00 ,  105.00 ,
,904,"  1,224 ",  187 ,  0.0002 ,  0.0022 ,  0.0109 ,  10 ,  50 ,  0.06 ,  35.00 ,  35.00 ,  100.00 ,
,905,"  1,250 ",  195 ,  0.0002 ,  0.0022 ,  0.0109 ,  10 ,  50 ,  0.05 ,  35.00 ,  35.00 ,  100.00 ,
,906,  347 ,  52 ,  0.0004 ,  0.0035 ,  0.0177 ,  10 ,  50 ,  0.10 ,  45.00 ,  45.00 ,  100.00 ,
,907,  128 ,  26 ,  0.0002 ,  0.0022 ,  0.0109 ,  10 ,  50 ,  0.06 ,  35.00 ,  35.00 ,  100.00 ,
,908,  208 ,  25 ,  0.0004 ,  0.0035 ,  0.0177 ,  10 ,  50 ,  0.12 ,  50.00 ,  50.00 ,  100.00 ,
,909,  150 ,  20 ,  0.0002 ,  0.0022 ,  0.0109 ,  10 ,  50 ,  0.13 ,  45.00 ,  50.00 ,  105.00 ,
,910,  161 ,  25 ,  0.0002 ,  0.0018 ,  0.0091 ,  10 ,  50 ,  0.13 ,  45.00 ,  50.00 ,  105.00 ,
,911,  179 ,  20 ,  0.0002 ,  0.0018 ,  0.0090 ,  10 ,  50 ,  0.06 ,  35.00 ,  35.00 ,  100.00 ,
,912,"  1,317 ",  157 ,  0.0001 ,  0.0024 ,  0.0240 ,  20 ,  200 ,#N/A,#N/A,#N/A,#N/A,
,913,"  3,540 ",  585 ,  0.0010 ,  0.0058 ,  0.0232 ,  6 ,  24 ,  0.52 ,  95.00 ,  310.00 ,  40.00 ,
,914,"  1,100 ",  174 ,  0.0002 ,  -   ,  0.0312 ,  -   ,  200 ,  0.04 ,  38.38 ,  38.38 ,  32.69 ,
,5171,  82 ,  -   ,  0.0000 , #VALUE!,  0.0096 , -,  200 ,  0.04 ,  38.40 ,  38.40 ,  32.70 ,
,915,  413 ,  54 ,  0.0000 ,  0.0010 ,  0.0160 ,  50 ,  800 ,  0.01 ,  12.00 ,  12.00 ,  25.50 ,
,916,  578 ,  94 ,  0.0000 ,  0.0010 ,  0.0200 ,  50 ,"  1,000 ",  0.01 ,  12.00 ,  12.00 ,  25.50 ,
,917,  505 ,  74 ,  0.0000 ,  0.0010 ,  0.0200 ,  50 ,"  1,000 ",  0.01 ,  12.00 ,  12.00 ,  25.00 ,
,918,  506 ,  74 ,  0.0000 ,  0.0007 ,  0.0260 ,  25 ,"  1,000 ",  0.01 ,  12.00 ,  12.00 ,  25.00 ,
,919,  874 ,  147 ,  0.0000 ,  0.0010 ,  0.0198 ,  30 ,  600 ,  0.02 ,  12.83 ,  12.83 ,  24.75 ,
,920,  464 ,  71 ,  0.0000 ,  0.0003 ,  0.0180 ,  10 ,  600 ,  0.02 ,  15.00 ,  15.00 ,  25.00 ,
,921,  411 ,  68 ,  0.0007 ,  0.0067 ,  0.0266 ,  10 ,  40 ,  0.13 ,  27.22 ,  96.00 ,  203.00 ,
,922,"  3,234 ",  502 ,  0.0000 ,  0.0074 ,  0.0298 ,  240 ,  960 ,  0.01 ,  14.10 ,  60.00 ,  48.00 ,
,923,"  1,358 ",  199 ,  0.0002 ,  0.0022 ,  0.0109 ,  10 ,  50 ,  0.05 ,  35.00 ,  35.00 ,  100.00 ,
,924,  977 ,  143 ,  0.0002 ,  0.0022 ,  0.0109 ,  10 ,  50 ,  0.07 ,  35.00 ,  35.00 ,  100.00 ,
,925,"  1,078 ",  153 ,  0.0002 ,  0.0022 ,  0.0109 ,  10 ,  50 ,  0.08 ,  35.00 ,  35.00 ,  100.00 ,
,926,  247 ,  36 ,  0.0002 ,  0.0022 ,  0.0109 ,  10 ,  50 ,  0.04 ,  35.00 ,  35.00 ,  100.00 ,
,927,  165 ,  28 ,  0.0002 ,  0.0022 ,  0.0109 ,  10 ,  50 ,  0.04 ,  35.00 ,  35.00 ,  100.00 ,
,928,  220 ,  37 ,  0.0002 ,  0.0022 ,  0.0109 ,  10 ,  50 ,  -   ,  -   ,  -   ,  -   ,
,929,  193 ,  21 ,  0.0002 ,  0.0018 ,  0.0090 ,  10 ,  50 ,  0.04 ,  35.00 ,  35.00 ,  100.00 ,
,930,  158 ,  22 ,  0.0002 ,  0.0022 ,  0.0109 ,  10 ,  50 ,  0.04 ,  35.00 ,  35.00 ,  100.00 ,
,931,  181 ,  12 ,  0.0000 ,  0.0047 ,  0.0094 ,  100 ,  200 ,  0.08 ,  21.50 ,  75.00 ,  130.00 ,
,932,"  9,832 ","  1,593 ",  0.0001 ,  0.0074 ,  0.0298 ,  120 ,  480 ,  0.04 ,  10.75 ,  45.00 ,  140.00 ,
,933,"  1,610 ",  145 ,  0.0000 ,  -   ,  0.0072 ,  -   ,"  2,400 ",  0.03 ,  16.68 ,  16.68 ,  51.42 ,
,934,"  1,341 ",  320 ,  0.0010 ,  0.0115 ,  0.0690 ,  12 ,  72 ,  0.27 ,  28.50 ,  110.00 ,  485.00 ,
,935,"  1,162 ",  119 ,  0.0016 ,  -   ,  0.0649 ,  -   ,  40 ,  0.34 ,  48.00 ,  140.00 ,  210.00 ,
,936,  96 ,  8 ,  0.0013 ,  -   ,  0.0175 ,  -   ,  14 ,  0.65 ,  25.35 ,  140.00 ,  275.00 ,
,937,  88 ,  3 ,  0.0038 ,  -   ,  0.0532 ,  -   ,  14 ,  0.81 ,  25.70 ,  165.00 ,  305.00 ,
,938,  44 ,  18 ,  0.0035 ,  -   ,  0.0490 ,  -   ,  14 ,  0.97 ,  27.25 ,  190.00 ,  345.00 ,
,939,  9 ,  3 ,  0.0023 ,  -   ,  0.0161 ,  -   ,  7 ,  1.14 ,  25.35 ,  210.00 ,  370.00 ,
,940,  259 ,  13 ,  0.0048 ,  -   ,  0.0958 ,  -   ,  20 ,  -   ,  -   ,  -   ,  -   ,
,5172,  26 ,  -   ,  0.0016 , #VALUE!,  0.0316 , -,  20 ,  0.66 ,  45.00 ,  260.00 ,  135.00 ,
,941,  215 ,  35 ,  0.0045 ,  -   ,  0.0896 ,  -   ,  20 ,  1.02 ,  58.00 ,  370.00 ,  145.00 ,
,5173,  11 ,  -   ,  0.0031 , #VALUE!,  0.0620 , -,  20 ,  1.02 ,  58.00 ,  370.00 ,  145.00 ,
,942,  285 ,  22 ,  0.0044 ,  -   ,  0.0882 ,  -   ,  20 ,  1.15 ,  57.15 ,  140.00 ,  370.00 ,
,5174,  7 ,  -   ,  0.0030 , #VALUE!,  0.0592 , -,  20 ,  1.15 ,  57.20 ,  140.00 ,  370.00 ,
,943,"  1,458 ",  250 ,  0.0001 ,  0.0024 ,  0.0048 ,  25 ,  50 ,  0.37 ,  55.00 ,  55.00 ,  260.00 ,
,944,"  1,237 ",  187 ,  0.0009 ,  0.0053 ,  0.0528 ,  6 ,  60 ,  0.35 ,  17.00 ,  125.00 ,  275.00 ,
,945,"  1,036 ",  164 ,  0.0011 ,  0.0068 ,  0.0683 ,  6 ,  60 ,  0.40 ,  19.00 ,  130.00 ,  315.00 ,
,946,"  1,213 ",  152 ,  0.0002 ,  0.0018 ,  0.0092 ,  10 ,  50 ,  0.05 ,  35.00 ,  35.00 ,  100.00 ,
,947,  209 ,  30 ,  0.0004 ,  0.0035 ,  0.0177 ,  10 ,  50 ,  0.09 ,  50.00 ,  50.00 ,  100.00 ,
,948,  186 ,  24 ,  0.0003 ,  0.0034 ,  0.0172 ,  10 ,  50 ,  0.10 ,  50.00 ,  50.00 ,  100.00 ,
,949,  176 ,  26 ,  0.0004 ,  0.0035 ,  0.0177 ,  10 ,  50 ,  -   ,  -   ,  -   ,  -   ,
,950,  172 ,  19 ,  0.0003 ,  0.0030 ,  0.0150 ,  10 ,  50 ,  0.12 ,  50.00 ,  50.00 ,  100.00 ,
,951,"  7,543 ","  1,171 ",  0.0001 ,  0.0146 ,  0.0292 ,  100 ,  200 ,  -   ,  -   ,  -   ,  -   ,
,952,"  3,431 ",  538 ,  0.0001 ,  0.0146 ,  0.0292 ,  100 ,  200 ,  -   ,  -   ,  -   ,  -   ,
,953,"  3,812 ",  629 ,  0.0001 ,  0.0146 ,  0.0292 ,  100 ,  200 ,  0.13 ,  3.30 ,  145.00 ,  188.00 ,
,954,"  2,137 ",  301 ,  0.0002 ,  0.0061 ,  0.0121 ,  25 ,  50 ,  0.37 ,  4.10 ,  190.00 ,  235.00 ,
,955,  574 ,  108 ,  0.0002 ,  0.0061 ,  0.0121 ,  25 ,  50 ,  0.35 ,  360.00 ,  190.00 ,  235.00 ,
,956,  358 ,  75 ,  0.0002 ,  0.0061 ,  0.0121 ,  25 ,  50 ,  0.37 ,  3.75 ,  190.00 ,  235.00 ,
,957,"  2,944 ",  511 ,  0.0004 ,  0.0044 ,  0.0440 ,  12 ,  120 ,  0.10 ,  43.00 ,  50.00 ,  280.00 ,
,958,  774 ,  125 ,  0.0000 ,  0.0037 ,  0.0148 ,  100 ,  400 ,  0.04 ,  2.02 ,  80.00 ,  170.00 ,
,959,  704 ,  112 ,  0.0000 ,  0.0037 ,  0.0148 ,  100 ,  400 ,  0.04 ,  2.06 ,  80.00 ,  170.00 ,
,960,  650 ,  103 ,  0.0000 ,  0.0037 ,  0.0148 ,  100 ,  400 ,  0.04 ,  1.82 ,  80.00 ,  170.00 ,
,961,  405 ,  64 ,  0.0000 ,  0.0037 ,  0.0148 ,  100 ,  400 ,  0.03 ,  1.70 ,  80.00 ,  170.00 ,
,962,  401 ,  71 ,  0.0000 ,  0.0037 ,  0.0148 ,  100 ,  400 ,  0.03 ,  1.60 ,  80.00 ,  170.00 ,
,963,  225 ,  46 ,  0.0000 ,  0.0037 ,  0.0148 ,  100 ,  400 ,  0.03 ,  1.52 ,  80.00 ,  170.00 ,
,964,  220 ,  33 ,  0.0000 ,  0.0037 ,  0.0148 ,  100 ,  400 ,  0.04 ,  1.55 ,  80.00 ,  170.00 ,
,965,  358 ,  76 ,  0.0000 ,  0.0037 ,  0.0148 ,  100 ,  400 ,  0.04 ,  1.86 ,  80.00 ,  170.00 ,
,966,  451 ,  76 ,  0.0000 ,  0.0037 ,  0.0148 ,  100 ,  400 ,  0.04 ,  1.78 ,  80.00 ,  170.00 ,
,967,"  2,793 ",  397 ,  0.0000 ,  0.0037 ,  0.0148 ,  100 ,  400 ,  0.04 ,  2.03 ,  80.00 ,  170.00 ,
,968,"  2,021 ",  297 ,  0.0000 ,  0.0037 ,  0.0148 ,  100 ,  400 ,  0.04 ,  1.80 ,  80.00 ,  170.00 ,
,969,"  2,285 ",  308 ,  0.0000 ,  0.0037 ,  0.0148 ,  100 ,  400 ,  0.04 ,  1.81 ,  80.00 ,  170.00 ,
,970,"  1,245 ",  193 ,  0.0023 ,  0.0226 ,  0.1131 ,  10 ,  50 ,  0.70 ,  85.00 ,  85.00 ,  260.00 ,
,971,  689 ,  123 ,  0.0000 ,  0.0037 ,  0.0148 ,  100 ,  400 ,  0.03 ,  1.60 ,  80.00 ,  170.00 ,
,972,  522 ,  85 ,  0.0000 ,  0.0037 ,  0.0148 ,  100 ,  400 ,  0.03 ,  1.59 ,  80.00 ,  170.00 ,
,973,  451 ,  114 ,  0.0000 ,  0.0037 ,  0.0148 ,  100 ,  400 ,#N/A,#N/A,#N/A,#N/A,
,974,"  1,266 ",  208 ,  0.0000 ,  0.0037 ,  0.0148 ,  100 ,  400 ,  0.04 ,  1.90 ,  80.00 ,  170.00 ,
,975,"  1,178 ",  189 ,  0.0000 ,  0.0037 ,  0.0148 ,  100 ,  400 ,  0.03 ,  1.84 ,  80.00 ,  170.00 ,
,976,  567 ,  108 ,  0.0001 ,  0.0054 ,  0.0108 ,  100 ,  200 ,  0.08 ,  8.00 ,  8.00 ,  205.00 ,
,977,  224 ,  24 ,  0.0050 ,  -   ,  0.0505 ,  -   ,  10 ,  2.64 ,  60.93 ,  266.00 ,  266.00 ,
,978,"  1,002 ",  186 ,  0.0009 ,  0.0114 ,  0.0456 ,  12 ,  48 ,  0.35 ,  38.00 ,  130.00 ,  210.00 ,
,979,  500 ,  54 ,  0.0004 ,  -   ,  0.0087 ,  -   ,  20 ,  0.76 ,  55.00 ,  55.00 ,  95.00 ,
,980,  270 ,  42 ,  0.0005 ,  -   ,  0.0097 ,  -   ,  20 ,  0.96 ,  65.00 ,  65.00 ,  95.00 ,
,981,  720 ,  121 ,  0.0005 ,  -   ,  0.0096 ,  -   ,  20 ,  1.00 ,  65.00 ,  65.00 ,  95.00 ,
,982,  86 ,  13 ,  0.0004 ,  -   ,  0.0082 ,  -   ,  20 ,  1.00 ,  55.00 ,  55.00 ,  95.00 ,
,983,  198 ,  26 ,  0.0005 ,  -   ,  0.0096 ,  -   ,  20 ,  1.06 ,  65.00 ,  65.00 ,  95.00 ,
,984,  186 ,  25 ,  0.0005 ,  -   ,  0.0096 ,  -   ,  20 ,  1.08 ,  65.00 ,  65.00 ,  95.00 ,
,5175,  3 ,  -   ,  0.0004 , #VALUE!,  0.0080 , -,  20 ,  1.08 ,  65.00 ,  65.00 ,  95.00 ,
,985,  137 ,  21 ,  0.0018 ,  -   ,  0.0369 ,  -   ,  20 ,  1.09 ,  65.00 ,  65.00 ,  95.00 ,
,986,  134 ,  16 ,  0.0007 ,  -   ,  0.0073 ,  -   ,  10 ,  1.33 ,  50.00 ,  215.00 ,  55.00 ,
,987,"  1,292 ",  209 ,  0.0004 ,  -   ,  0.0081 ,  -   ,  20 ,  0.62 ,  65.00 ,  65.00 ,  95.00 ,
,988,  43 ,  9 ,  0.0007 ,  -   ,  0.0069 ,  -   ,  10 ,  1.30 ,  65.00 ,  65.00 ,  130.00 ,
,989,  640 ,  113 ,  0.0000 ,  0.0021 ,  0.0084 ,  100 ,  400 ,  0.01 ,  3.40 ,  21.67 ,  95.00 ,
,990,  630 ,  124 ,  0.0000 ,  0.0021 ,  0.0084 ,  100 ,  400 ,  0.01 ,  3.39 ,  24.45 ,  105.00 ,
,991,"  1,130 ",  228 ,  0.0000 ,  0.0036 ,  0.0144 ,  100 ,  400 ,  0.02 ,  4.85 ,  27.65 ,  120.00 ,
,992,  781 ,  162 ,  0.0000 ,  0.0036 ,  0.0144 ,  100 ,  400 ,  0.02 ,  4.55 ,  30.65 ,  130.00 ,
,993,  643 ,  124 ,  0.0000 ,  0.0036 ,  0.0144 ,  100 ,  400 ,  0.03 ,  5.88 ,  32.10 ,  150.00 ,
,994,"  1,014 ",  212 ,  0.0000 ,  0.0036 ,  0.0144 ,  100 ,  400 ,  0.04 ,  6.00 ,  34.40 ,  135.00 ,
,995,  809 ,  179 ,  0.0001 ,  0.0054 ,  0.0108 ,  100 ,  200 ,  0.06 ,  8.00 ,  37.33 ,  190.00 ,
,996,  259 ,  74 ,  0.0001 ,  0.0054 ,  0.0107 ,  50 ,  100 ,  -   ,  -   ,  -   ,  -   ,
,997,  226 ,  53 ,  0.0001 ,  0.0054 ,  0.0107 ,  50 ,  100 ,  0.17 ,  11.50 ,  11.50 ,  235.00 ,
,998,  390 ,  65 ,  0.0331 ,  -   ,  0.0331 ,  -   ,  1 ,  -   ,  -   ,  -   ,  -   ,
,999,  256 ,  43 ,  0.0000 ,  0.0021 ,  0.0084 ,  100 ,  400 ,  0.01 ,  3.50 ,  3.50 ,  96.00 ,
,1000,  207 ,  37 ,  0.0000 ,  0.0021 ,  0.0084 ,  100 ,  400 ,  0.01 ,  4.00 ,  4.00 ,  95.00 ,
,1001,  345 ,  67 ,  0.0000 ,  0.0021 ,  0.0084 ,  100 ,  400 ,  0.01 ,  3.41 ,  20.00 ,  95.00 ,
,1002,  249 ,  65 ,  0.0000 ,  0.0021 ,  0.0084 ,  100 ,  400 ,  0.01 ,  3.52 ,  20.00 ,  95.00 ,
,1003,  705 ,  108 ,  0.0018 ,  -   ,  0.0178 ,  -   ,  10 ,  1.78 ,  34.30 ,  180.00 ,  500.00 ,
,1004,  558 ,  94 ,  0.0021 ,  -   ,  0.0212 ,  -   ,  10 ,  -   ,  -   ,  -   ,  -   ,
,1005,  582 ,  88 ,  0.0025 ,  -   ,  0.0246 ,  -   ,  10 ,  2.12 ,  34.07 ,  180.00 ,  700.00 ,
,1006,  423 ,  61 ,  0.0032 ,  -   ,  0.0323 ,  -   ,  10 ,  2.43 ,  34.00 ,  180.00 ,  900.00 ,
,1007,  186 ,  18 ,  0.0036 ,  -   ,  0.0358 ,  -   ,  10 ,  2.56 ,  34.02 ,  180.00 ,"  1,000.00 ",
,1008,  33 ,  5 ,  0.0268 ,  -   ,  0.1609 ,  -   ,  6 ,  4.34 ,  14.00 ,  260.00 ,  630.00 ,
,1009,"  1,710 ",  268 ,  0.0009 ,  0.0113 ,  0.0452 ,  12 ,  48 ,  0.28 ,  26.45 ,  120.00 ,  255.00 ,
,1010,  629 ,  74 ,  0.0005 ,  -   ,  0.0106 ,  -   ,  20 ,  1.01 ,  65.00 ,  65.00 ,  95.00 ,
,1011,  612 ,  77 ,  0.0000 ,  0.0042 ,  0.0084 ,  120 ,  240 ,  0.01 ,  14.00 ,  60.00 ,  50.00 ,
,1012,"  1,322 ",  101 ,  0.0000 ,  0.0046 ,  0.0091 ,  120 ,  240 ,  0.02 ,  14.50 ,  60.00 ,  50.00 ,
,1013,"  2,272 ",  165 ,  0.0000 ,  0.0042 ,  0.0084 ,  120 ,  240 ,  0.05 ,  14.50 ,  60.00 ,  50.00 ,
,1014,  486 ,  95 ,  0.0000 ,  0.0046 ,  0.0091 ,  120 ,  240 ,  -   ,  -   ,  -   ,  -   ,
,1015,  865 ,  96 ,  0.0000 ,  0.0042 ,  0.0084 ,  120 ,  240 ,  0.02 ,  14.50 ,  60.00 ,  50.00 ,
,1016,  442 ,  42 ,  0.0000 ,  0.0042 ,  0.0084 ,  120 ,  240 ,  0.02 ,  14.50 ,  60.00 ,  50.00 ,
,1017,  403 ,  68 ,  0.0000 ,  0.0046 ,  0.0091 ,  120 ,  240 ,  0.03 ,  14.00 ,  60.00 ,  53.00 ,
,1018,  243 ,  23 ,  0.0000 ,  0.0042 ,  0.0084 ,  120 ,  240 ,  0.02 ,  14.50 ,  60.00 ,  50.00 ,
,1019,  282 ,  28 ,  0.0000 ,  0.0042 ,  0.0084 ,  120 ,  240 ,  0.02 ,  14.50 ,  60.00 ,  50.00 ,
,1020,  618 ,  61 ,  0.0000 ,  0.0042 ,  0.0084 ,  120 ,  240 ,  0.02 ,  14.25 ,  60.00 ,  50.00 ,
,1021,"  1,112 ",  79 ,  0.0000 ,  0.0042 ,  0.0084 ,  120 ,  240 ,  0.02 ,  14.25 ,  60.00 ,  50.00 ,
,1022,  917 ,  94 ,  0.0000 ,  0.0042 ,  0.0084 ,  120 ,  240 ,  0.02 ,  14.50 ,  60.00 ,  50.00 ,
,1023,  519 ,  73 ,  0.0000 ,  0.0046 ,  0.0091 ,  120 ,  240 ,  0.02 ,  14.50 ,  65.00 ,  60.00 ,
,1024,  658 ,  74 ,  0.0001 ,  0.0092 ,  0.0185 ,  120 ,  240 ,  -   ,  -   ,  -   ,  -   ,
,1025,"  1,440 ",  124 ,  0.0001 ,  0.0092 ,  0.0185 ,  120 ,  240 ,  0.18 ,  14.50 ,  105.00 ,  65.00 ,
,1026,"  2,956 ",  265 ,  0.0001 ,  0.0092 ,  0.0185 ,  120 ,  240 ,  0.05 ,  14.50 ,  50.00 ,  110.00 ,
,1027,"  1,023 ",  126 ,  0.0001 ,  0.0079 ,  0.0158 ,  120 ,  240 ,  0.05 ,  14.50 ,  105.00 ,  50.00 ,
,1028,  789 ,  56 ,  0.0001 ,  0.0079 ,  0.0158 ,  120 ,  240 ,  0.05 ,  14.50 ,  105.00 ,  50.00 ,
,1029,  342 ,  32 ,  0.0001 ,  0.0091 ,  0.0182 ,  120 ,  240 ,  0.05 ,  14.50 ,  105.00 ,  50.00 ,
,1030,  464 ,  58 ,  0.0001 ,  0.0091 ,  0.0182 ,  120 ,  240 ,  0.07 ,  14.50 ,  105.00 ,  50.00 ,
,1031,  166 ,  27 ,  0.0001 ,  0.0079 ,  0.0158 ,  120 ,  240 ,  0.05 ,  14.00 ,  105.00 ,  65.00 ,
,1032,  244 ,  26 ,  0.0001 ,  0.0092 ,  0.0185 ,  120 ,  240 ,  0.05 ,  14.00 ,  105.00 ,  50.00 ,
,1033,  440 ,  44 ,  0.0001 ,  0.0092 ,  0.0185 ,  120 ,  240 ,  0.05 ,  14.00 ,  105.00 ,  50.00 ,
,1034,  827 ,  136 ,  0.0001 ,  0.0092 ,  0.0185 ,  120 ,  240 ,  0.05 ,  14.00 ,  105.00 ,  50.00 ,
,1035,  904 ,  116 ,  0.0001 ,  0.0092 ,  0.0185 ,  120 ,  240 ,#N/A,#N/A,#N/A,#N/A,
,1036,  822 ,  130 ,  0.0001 ,  0.0092 ,  0.0185 ,  120 ,  240 ,  0.06 ,  14.00 ,  105.00 ,  50.00 ,
,1037,  158 ,  23 ,  0.0001 ,  0.0079 ,  0.0158 ,  120 ,  240 ,  0.05 ,  14.00 ,  105.00 ,  50.00 ,
,1038,  228 ,  39 ,  0.0001 ,  0.0092 ,  0.0185 ,  120 ,  240 ,  0.05 ,  14.50 ,  105.00 ,  50.00 ,
,1039,  278 ,  30 ,  0.0001 ,  0.0091 ,  0.0182 ,  120 ,  240 ,  0.05 ,  14.50 ,  105.00 ,  50.00 ,
,1040,  930 ,  96 ,  0.0001 ,  0.0079 ,  0.0158 ,  120 ,  240 ,#N/A,#N/A,#N/A,#N/A,
,1041,  998 ,  98 ,  0.0000 ,  0.0046 ,  0.0091 ,  120 ,  240 ,  0.02 ,  14.00 ,  60.00 ,  50.00 ,
,1042,"  3,345 ",  422 ,  0.0000 ,  0.0046 ,  0.0091 ,  120 ,  240 ,  -   ,  -   ,  -   ,  -   ,
,1043,"  4,812 ",  477 ,  0.0000 ,  0.0046 ,  0.0091 ,  120 ,  240 ,  0.02 ,  14.20 ,  60.00 ,  47.45 ,
,1044,"  2,130 ",  143 ,  0.0000 ,  0.0042 ,  0.0084 ,  120 ,  240 ,  0.02 ,  14.50 ,  60.00 ,  48.00 ,
,1045,"  2,114 ",  193 ,  0.0000 ,  0.0042 ,  0.0084 ,  120 ,  240 ,  0.02 ,  14.50 ,  60.00 ,  65.00 ,
,1046,"  1,279 ",  119 ,  0.0000 ,  0.0042 ,  0.0084 ,  120 ,  240 ,  0.02 ,  14.50 ,  60.00 ,  48.00 ,
,1047,  395 ,  44 ,  0.0000 ,  0.0042 ,  0.0084 ,  120 ,  240 ,  0.03 ,  14.50 ,  60.00 ,  48.00 ,
,1048,"  1,186 ",  120 ,  0.0001 ,  0.0079 ,  0.0158 ,  120 ,  240 ,  0.05 ,  14.00 ,  105.00 ,  50.00 ,
,1049,"  4,186 ",  416 ,  0.0001 ,  0.0092 ,  0.0185 ,  120 ,  240 ,  0.05 ,  13.40 ,  104.40 ,  47.54 ,
